PROJECT	timepoint	proj_max_capacity_factor
Oahu_DistPV_peak_1_na	210700	0.0
Oahu_DistPV_peak_1_na	210703	0.0
Oahu_DistPV_peak_1_na	210706	0.0511339063349
Oahu_DistPV_peak_1_na	210709	0.587734042532
Oahu_DistPV_peak_1_na	210712	0.896209625227
Oahu_DistPV_peak_1_na	210715	0.579132561657
Oahu_DistPV_peak_1_na	210718	0.0992165834908
Oahu_DistPV_peak_1_na	210721	0.0
Oahu_DistPV_peak_1_na	370700	0.0
Oahu_DistPV_peak_1_na	370703	0.0
Oahu_DistPV_peak_1_na	370706	0.0511339063349
Oahu_DistPV_peak_1_na	370709	0.587734042532
Oahu_DistPV_peak_1_na	370712	0.896209625227
Oahu_DistPV_peak_1_na	370715	0.579132561657
Oahu_DistPV_peak_1_na	370718	0.0992165834908
Oahu_DistPV_peak_1_na	370721	0.0
Oahu_Kahuku_1	210700	0.243764287215
Oahu_Kahuku_1	210703	0.258820165571
Oahu_Kahuku_1	210706	0.341296125805
Oahu_Kahuku_1	210709	0.325459745986
Oahu_Kahuku_1	210712	0.466781913241
Oahu_Kahuku_1	210715	0.378818171193
Oahu_Kahuku_1	210718	0.601821047369
Oahu_Kahuku_1	210721	0.358597513117
Oahu_Kahuku_1	370700	0.243764287215
Oahu_Kahuku_1	370703	0.258820165571
Oahu_Kahuku_1	370706	0.341296125805
Oahu_Kahuku_1	370709	0.325459745986
Oahu_Kahuku_1	370712	0.466781913241
Oahu_Kahuku_1	370715	0.378818171193
Oahu_Kahuku_1	370718	0.601821047369
Oahu_Kahuku_1	370721	0.358597513117
Oahu_Kalaeloa_KAS2	210700	0.0
Oahu_Kalaeloa_KAS2	210703	0.0
Oahu_Kalaeloa_KAS2	210706	0.0494833335876
Oahu_Kalaeloa_KAS2	210709	0.782083374023
Oahu_Kalaeloa_KAS2	210712	0.985450012207
Oahu_Kalaeloa_KAS2	210715	0.752316650391
Oahu_Kalaeloa_KAS2	210718	0.131983337402
Oahu_Kalaeloa_KAS2	210721	0.0
Oahu_Kalaeloa_KAS2	370700	0.0
Oahu_Kalaeloa_KAS2	370703	0.0
Oahu_Kalaeloa_KAS2	370706	0.0494833335876
Oahu_Kalaeloa_KAS2	370709	0.782083374023
Oahu_Kalaeloa_KAS2	370712	0.985450012207
Oahu_Kalaeloa_KAS2	370715	0.752316650391
Oahu_Kalaeloa_KAS2	370718	0.131983337402
Oahu_Kalaeloa_KAS2	370721	0.0
Oahu_Kawailoa_1	210700	0.628269517568
Oahu_Kawailoa_1	210703	0.269055002981
Oahu_Kawailoa_1	210706	0.488616008863
Oahu_Kawailoa_1	210709	0.403906227397
Oahu_Kawailoa_1	210712	0.500744359231
Oahu_Kawailoa_1	210715	0.590440790483
Oahu_Kawailoa_1	210718	0.636405617521
Oahu_Kawailoa_1	210721	0.342700939059
Oahu_Kawailoa_1	370700	0.628269517568
Oahu_Kawailoa_1	370703	0.269055002981
Oahu_Kawailoa_1	370706	0.488616008863
Oahu_Kawailoa_1	370709	0.403906227397
Oahu_Kawailoa_1	370712	0.500744359231
Oahu_Kawailoa_1	370715	0.590440790483
Oahu_Kawailoa_1	370718	0.636405617521
Oahu_Kawailoa_1	370721	0.342700939059
Oahu_Solar_DistPV	210700	0.0
Oahu_Solar_DistPV	210703	0.0
Oahu_Solar_DistPV	210706	0.0563396940666
Oahu_Solar_DistPV	210709	0.647569460701
Oahu_Solar_DistPV	210712	0.987450005759
Oahu_Solar_DistPV	210715	0.638092289177
Oahu_Solar_DistPV	210718	0.109317522577
Oahu_Solar_DistPV	210721	0.0
Oahu_Solar_DistPV	370700	0.0
Oahu_Solar_DistPV	370703	0.0
Oahu_Solar_DistPV	370706	0.0563396940666
Oahu_Solar_DistPV	370709	0.647569460701
Oahu_Solar_DistPV	370712	0.987450005759
Oahu_Solar_DistPV	370715	0.638092289177
Oahu_Solar_DistPV	370718	0.109317522577
Oahu_Solar_DistPV	370721	0.0
